Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","P35670","61","GC13M051930","125.133308410645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"ATP7A","ATPase Copper Transporting Alpha","Protein Coding","Q04656","58","GC0XP078214","104.445556640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7A"
"SLC31A1","Solute Carrier Family 31 Member 1","Protein Coding","O15431","56","GC09P113221","84.1216125488281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC31A1"
"CP","Ceruloplasmin","Protein Coding","P00450","61","GC03M149162","61.7644958496094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","59.1280632019043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"COMMD1","Copper Metabolism Domain Containing 1","Protein Coding","Q8N668","52","GC02P061888","59.1213989257813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMMD1"
"MTR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase","Protein Coding","Q99707","60","GC01P236795","57.8178024291992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTR"
"ATOX1","Antioxidant 1 Copper Chaperone","Protein Coding","O00244","52","GC05M151743","54.7834815979004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOX1"
"MMACHC","Metabolism Of Cobalamin Associated C","Protein Coding","Q9Y4U1","55","GC01P045500","51.0702705383301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMACHC"
"SCO2","Synthesis Of Cytochrome C Oxidase 2","Protein Coding","O43819","57","GC22M050523","48.4681625366211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCO2"
"CCS","Copper Chaperone For Superoxide Dismutase","Protein Coding","O14618","54","GC11P066593","47.7281074523926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCS"
"CYP2D6","Cytochrome P450 Family 2 Subfamily D Member 6","Protein Coding","P10635","60","GC22M042126","46.5481605529785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P133238","46.1710052490234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"CYP3A4","Cytochrome P450 Family 3 Subfamily A Member 4","Protein Coding","P08684","61","GC07M106050","45.9386177062988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4"
"INS","Insulin","Protein Coding","P01308","61","GC11M002159","44.8169784545898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"CBS","Cystathionine Beta-Synthase","Protein Coding","P35520","63","GC21M043053","44.4274139404297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS"
